Nokrek National Park,Meghalaya,47.48,45,110534257 (iD JOSM history),,
North Button Island National Park,Andaman and Nicobar Islands,0.44,0.1,520270036 (iD JOSM history),,
Intangki National Park,Nagaland,202.02,269,8756010 (iD JOSM history analyse),,
Orang National Park,Assam,78.81,65,1665597 (iD JOSM history analyse),,
Pambadum Shola National Park,Kerala,1.32,13,676731219 (iD JOSM history),,1.32km² is false; correct : 13.2km²?
Panna National Park,Madhya Pradesh,542.67,562,160695615 (iD JOSM history),,
Papikonda National Park,Andhra Pradesh,1012.85,958,9282307 (iD JOSM history analyse),,check np or wls
Pench (Indira Priyadarsini) National Park,Madhya Pradesh Maharashtra,758,603,155466998 (iD JOSM history),,
Periyar National Park,Kerala,305,358,681439743 (iD JOSM history),,
Phawngpui Blue Mountain National Park,Mizoram,50,48,663504914 (iD JOSM history),,
Pin Valley National Park,Himachal Pradesh,807.36,768,114792469 (iD JOSM history),,
Rajaji National Park,Uttarakhand,820,795,8815465 (iD JOSM history analyse),,
Rani Jhansi Marine National Park,Andaman and Nicobar Islands,256.14,187,680484087 (iD JOSM history),,
Ranthambhore National Park,Rajasthan,392,475,3494941 (iD JOSM history analyse),,
Saddle Peak National Park,Andaman and Nicobar Islands,35.54,30,9282556 (iD JOSM history analyse),,
Salim Ali National Park,Jammu and Kashmir,9.07,,,,now Royal Springs Golf course in Srinagar
Sanjay National Park,Madhya Pradesh,466.7,436,9268491 (iD JOSM history analyse),,
Sanjay Gandhi (Borivilli) National Park,Maharashtra,104,115,6245228 (iD JOSM history analyse),,
Sariska National Park,Rajasthan,273.8,278,159294905 (iD JOSM history),,
Satpura National Park,Madhya Pradesh,524,350,669356834 (iD JOSM history),,
Silent Valley National Park,Kerala,89.52,98,159049311 (iD JOSM history),,
Simbalbara National Park,Himachal Pradesh,27.88,25,666725799 (iD JOSM history),,
Sirohi National Park,Manipur,41.3,46,678447674 (iD JOSM history),,
Simlipal National Park,Odisha,845.7,855,678270768 (iD JOSM history),,
Singalila National Park,West Bengal,78.6,102,9258262 (iD JOSM history analyse),,
South Button Island National Park,Andaman and Nicobar Islands,0.03,0.01,520270439 (iD JOSM history),,
Sri Venkateswara National Park,Andhra Pradesh,353,409,148491926 (iD JOSM history),,
Sultanpur National Park,Haryana,1.43,1.2,24525917 (iD JOSM history),,
Sundarbans National Park,West Bengal,1330.12,1520,126774199 (iD JOSM history),,
Tadoba National Park,Maharashtra,625,794,679249389 (iD JOSM history),,
Valley of Flowers National Park,Uttarakhand,87.5,82,129547191 (iD JOSM history),,
Valmiki National Park,Bihar,335.65,359,2640059 (iD JOSM history analyse),,
Vansda National Park,Gujarat,23.99,22,143366077 (iD JOSM history),,
Van Vihar National Park,Madhya Pradesh,4.48,3.8,44417026 (iD JOSM history),,
Rajiv Gandhi National Park,Andhra Pradesh,2.4,2.3,278769809 (iD JOSM history),,
Dinosaur National Park,Madhya Pradesh,0.897,0.86,666336356 (iD JOSM history),,notified; under construction?
